altitud_m,tempratur_K,tryck_bar,solinstrålning_W_m2,CO2_ppm,CH4_ppb
0,285.238274565108,1.003344311270207,557.35,415.2,1970
500,284.61904996405843,0.968153810320501,564.2,414.8,1955
1000,282.48183866664414,0.8888854529137532,570.79,414.3,1940
2000,278.746593579573,0.7949788122920395,583.18,413.5,1920
3000,268.5902065592539,0.7008443476124124,594.54,412.8,1905
5000,252.41615933347327,0.5411561192772638,614.34,411.2,1880
7000,240.031857968671,0.4017859764255409,630.6,409.8,1860
10000,224.8609832235576,0.2645406656018324,649.39,408.0,1835
12000,215.2977770594956,0.1909691266953567,658.88,406.5,1810
14000,217.5218188255798,0.1396000515842348,666.44,405.0,1785
16000,215.30393814932827,0.0896785845615129,672.43,403.7,1750
18000,216.8591827800801,0.0634470639355797,677.15,402.5,1720
20000,216.58640253068103,0.0447268484967561,680.87,401.4,1680
22000,219.6776545624709,0.0225266618355493,683.79,400.6,1640
24000,219.734618769326,0.0231468415189751,686.08,399.8,1600
26000,222.6241218541152,0.019731983428041,687.87,399.2,1560
28000,224.76745924001528,0.0107643845618704,689.27,398.8,1520
30000,225.9108711631024,0.0253264540417488,690.36,398.5,1480
