datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2026/08/01@02:30:24,7,0.04748535,0.04534912,1.0447998,-1.4045801,1.0229008,-1.2290076
2026/08/01@02:30:25,8,0.041931152,0.045776368,1.0459595,-1.4122137,1.0610686,-1.167939
2026/08/01@02:30:26,9,0.058654784,0.057495116,1.041748,-1.2366412,1.3129771,-1.1221374
2026/08/01@02:30:28,11,0.024963378,0.046875,1.0091553,-0.8778626,1.8091604,-1.0839695
2026/08/01@02:30:29,12,0.049438476,0.06665039,1.0407715,-1.5038168,0.4274809,-1.167939
2026/08/01@02:30:30,13,0.064697268,0.0562744136,1.0478516,-1.7099236,0.70229008,-1.1145039
2026/08/01@02:30:31,14,0.05908203,0.06536865,1.0427246,-1.2137405,1.4427481,-1.2442748
2026/08/01@02:30:32,15,0.058654784,0.06896973,1.0454712,-1.4427481,1.1832061,-1.1832061
2026/08/01@02:30:33,16,0.058166504,0.058166504,1.0402222,-1.5877863,1.0763359,-1.1526718
2026/08/01@02:30:34,17,0.061401368,0.07269287,1.0334473,-1.4351145,1.1374046,-1.1526718
2026/08/01@02:30:35,18,0.06213379,0.05657959,1.0441894,-1.3206106,1.3129771,-1.167939
2026/08/01@02:30:36,19,0.05633545,0.05621338,1.0443726,-1.4427481,1.129771,-1.167939
2026/08/01@02:30:37,20,0.05718994,0.05670166,1.0438843,-1.389313,1.2900764,-1.1374046
2026/08/01@02:30:39,22,0.054016112,0.057373048,1.0415039,-1.4961832,0.961832064,-1.1984733
2026/08/01@02:30:40,23,0.05419922,0.068725584,1.0413818,-1.3358779,1.259542,-1.1374046
2026/08/01@02:30:41,24,0.057006836,0.05493164,1.0437622,-1.3435115,1.3358779,-1.221374
2026/08/01@02:30:42,25,0.059265136,0.0602417,1.0452881,-1.5038168,1.1832061,-1.167939
2026/08/01@02:30:43,26,0.05633545,0.08258057,1.0612183,-4.6030536,3.648855,-0.55725192
2026/08/01@02:30:44,27,-0.14959717,0.094055176,1.218811,28.847328,-80.72519,-3.5419848
2026/08/01@02:30:45,28,0.059448244,0.08026123,1.0483398,-1.4198474,1.2137405,-1.1755725
2026/08/01@02:30:46,29,0.056152344,0.08343506,1.0425415,-0.6259542,1.4122137,-1.0305344
2026/08/01@02:30:47,30,0.06390381,0.08337402,1.0457153,-1.5267176,0.9694657,-1.1908396
2026/08/01@02:30:48,31,0.0679931636,0.09667969,1.0397949,-0.977099264,1.8778626,-1.3664122
2026/08/01@02:30:50,33,0.04711914,0.08642578,1.0368652,-1.3358779,1.480916,-1.1984733
2026/08/01@02:30:51,34,0.043823244,0.088378904,1.0369263,-1.4122137,1.0992366,-1.1832061
2026/08/01@02:30:52,35,0.055847168,0.08721924,1.0436401,-1.4351145,0.6335878,-1.1832061
2026/08/01@02:30:53,36,0.06298828,0.09265137,1.045105,-1.480916,1.0458015,-1.1374046
2026/08/01@02:30:54,37,0.061523436,0.08721924,1.0441284,-1.3358779,1.3129771,-1.1068702
2026/08/01@02:30:55,38,0.05279541,0.08984375,1.0432739,-1.2290076,1.2748091,-1.0763359
2026/08/01@02:30:56,39,0.058044432,0.087646488,1.0431518,-1.4580153,1.2519084,-1.129771
2026/08/01@02:30:57,40,0.057800292,0.0856323264,1.0568237,-1.69465652,0.6183206,-1.1450381
2026/08/01@02:30:58,41,0.0562744136,0.09020996,1.0406494,-1.480916,1.2366412,-1.0687023
2026/08/01@02:31:00,43,0.06060791,0.083984376,1.0422363,-1.6793894,1.2366412,-1.1603054
2026/08/01@02:31:01,44,0.05609131,0.08117676,1.0490723,-1.480916,1.2824427,-1.167939
2026/08/01@02:31:02,45,0.05609131,0.08026123,1.0426636,-1.6717557,1.0229008,-1.2442748
2026/08/01@02:31:03,46,0.05731201,0.0816040036,1.0438843,-1.4274809,1.5267176,-1.0305344
2026/08/01@02:31:04,47,0.05206299,0.07458496,1.0436401,-1.2824427,1.2290076,-1.0992366
2026/08/01@02:31:05,48,0.051757812,0.07861328,1.0380859,-1.4427481,1.0992366,-1.1450381
2026/08/01@02:31:06,49,0.05407715,0.07861328,1.045166,-1.4351145,1.167939,-1.2748091
2026/08/01@02:31:07,50,0.04876709,0.060791016,1.0375976,-1.4198474,1.3740458,-1.2366412
2026/08/01@02:31:08,51,0.052856444,0.0725708,1.0411377,-1.0992366,1.4656489,-1.0534351
2026/08/01@02:31:09,52,0.06109619,0.07751465,1.0383301,-0.7480916,1.3587786,-0.9541985
2026/08/01@02:31:11,54,0.049804688,0.105651852,1.0372925,-0.84732824,2.2671756,-1.259542
2026/08/01@02:31:12,55,0.0524292,0.07623291,1.0407715,-1.4503816,1.1755725,-1.1526718
2026/08/01@02:31:13,56,0.054138184,0.08648682,1.0474243,-1.6335878,0.9847328,-1.1068702
2026/08/01@02:31:14,57,0.054870604,0.083496092,1.0449219,-0.28244276,1.5801526,-1.0839695
2026/08/01@02:31:15,58,0.050720216,0.08508301,1.0319824,-2.312977,1.2519084,-0.6870229
2026/08/01@02:31:16,59,0.06378174,0.076416016,1.0228882,-0.29007636,2.5801528,-1.2519084
2026/08/01@02:31:17,60,0.053649904,0.08734131,1.0396118,-2.091603,0.5038168,-1.1984733
2026/08/01@02:31:18,61,0.06201172,0.06915283,1.0316162,-1.8091604,1.0,-0.9236641
2026/08/01@02:31:19,62,0.055480956,0.077819824,1.0414429,-1.3740458,1.259542,-1.0992366
2026/08/01@02:31:20,63,0.05822754,0.078186032,1.0289917,-1.4351145,1.0839695,-1.0839695
2026/08/01@02:31:22,65,0.05493164,0.089782712,1.0426636,-1.2900764,1.3206106,-1.2061069
