datetime,elapsed_s,gas1
2026/08/01@14:11:45,7,2.7560624
2026/08/01@14:11:46,8,2.7566252
2026/08/01@14:11:47,9,2.7566252
2026/08/01@14:11:49,11,2.7566252
2026/08/01@14:11:50,12,2.7566252
2026/08/01@14:11:51,13,2.7564378
2026/08/01@14:11:52,14,2.7566252
2026/08/01@14:11:53,15,2.7568126
2026/08/01@14:11:54,16,2.7566252
2026/08/01@14:11:55,17,2.7564378
2026/08/01@14:11:56,18,2.7564378
2026/08/01@14:11:57,19,2.7566252
2026/08/01@14:11:58,20,2.7566252
2026/08/01@14:11:59,21,2.7564378
2026/08/01@14:12:00,22,2.7564378
2026/08/01@14:12:02,24,2.7562502
2026/08/01@14:12:03,25,2.7562502
2026/08/01@14:12:04,26,2.7560624
2026/08/01@14:12:05,27,2.7564378
2026/08/01@14:12:06,28,2.7564378
2026/08/01@14:12:07,29,2.7562502
2026/08/01@14:12:08,30,2.7564378
2026/08/01@14:12:09,31,2.7566252
2026/08/01@14:12:10,32,2.7562502
2026/08/01@14:12:11,33,2.7560624
2026/08/01@14:12:12,34,2.7562502
2026/08/01@14:12:13,35,2.7564378
2026/08/01@14:12:15,37,2.7560624
2026/08/01@14:12:16,38,2.7560624
2026/08/01@14:12:17,39,2.755875
2026/08/01@14:12:18,40,2.7562502
2026/08/01@14:12:19,41,2.7562502
2026/08/01@14:12:20,42,2.7560624
2026/08/01@14:12:21,43,2.7556876
2026/08/01@14:12:22,44,2.7556876
2026/08/01@14:12:23,45,2.755875
2026/08/01@14:12:24,46,2.7556876
2026/08/01@14:12:25,47,2.755875
2026/08/01@14:12:27,49,2.755875
2026/08/01@14:12:28,50,2.755875
2026/08/01@14:12:29,51,2.7560624
2026/08/01@14:12:30,52,2.755875
2026/08/01@14:12:31,53,2.7556876
2026/08/01@14:12:32,54,2.7555004
2026/08/01@14:12:33,55,2.755875
2026/08/01@14:12:34,56,2.7560624
2026/08/01@14:12:35,57,2.7560624
2026/08/01@14:12:36,58,2.7556876
2026/08/01@14:12:37,59,2.755875
2026/08/01@14:12:38,60,2.7553128
2026/08/01@14:12:40,62,2.7555004
2026/08/01@14:12:41,63,2.755875
2026/08/01@14:12:42,64,2.755875
2026/08/01@14:12:43,65,2.7553128
2026/08/01@14:12:44,66,2.755875
2026/08/01@14:12:45,67,2.7553128
2026/08/01@14:12:46,68,2.755125
2026/08/01@14:12:47,69,2.755125
2026/08/01@14:12:48,70,2.7555004
2026/08/01@14:12:49,71,2.7553128
2026/08/01@14:12:50,72,2.755125
2026/08/01@14:12:51,73,2.75475
2026/08/01@14:12:53,75,2.7549376
2026/08/01@14:12:54,76,2.7549376
2026/08/01@14:12:55,77,2.7549376
2026/08/01@14:12:56,78,2.755125
2026/08/01@14:12:57,79,2.7549376
2026/08/01@14:12:58,80,2.755125
2026/08/01@14:12:59,81,2.7553128
2026/08/01@14:13:00,82,2.7549376
2026/08/01@14:13:01,83,2.7549376
2026/08/01@14:13:02,84,2.75475
2026/08/01@14:13:03,85,2.7549376
2026/08/01@14:13:04,86,2.75475
2026/08/01@14:13:06,88,2.75475
2026/08/01@14:13:07,89,2.7553128
2026/08/01@14:13:08,90,2.75475
2026/08/01@14:13:09,91,2.7549376
