datetime,elapsed_s,uvindex
2000/01/02@13:03:11,8,0.0
2000/01/02@13:03:12,9,0.0
2000/01/02@13:03:13,10,0.0
2000/01/02@13:03:14,11,0.0
2000/01/02@13:03:15,12,0.0
2000/01/02@13:03:16,13,0.0
2000/01/02@13:03:17,14,0.0
2000/01/02@13:03:18,15,0.0
2000/01/02@13:03:19,16,0.0
2000/01/02@13:03:20,17,0.0
2000/01/02@13:03:21,18,0.0
2000/01/02@13:03:22,19,0.0
2000/01/02@13:03:23,20,0.0
2000/01/02@13:03:25,22,0.0
2000/01/02@13:03:26,23,0.0
2000/01/02@13:03:27,24,0.0
2000/01/02@13:03:28,25,0.0
2000/01/02@13:03:29,26,0.0
