datetime,elapsed_s,alcohol
2000/01/02@12:28:01,7,3.6654376
2000/01/02@12:28:02,8,3.6663752
2000/01/02@12:28:03,9,3.66693784
2000/01/02@12:28:04,10,3.6676876
2000/01/02@12:28:05,11,3.667875
2000/01/02@12:28:06,12,3.6680628
2000/01/02@12:28:07,13,3.6671252
2000/01/02@12:28:08,14,3.6671252
2000/01/02@12:28:09,15,3.6676876
2000/01/02@12:28:11,17,2.75175
2000/01/02@12:28:12,18,2.7924376
2000/01/02@12:28:13,19,3.0140626
2000/01/02@12:28:14,20,3.36243768
2000/01/02@12:28:15,21,3.5769376
2000/01/02@12:28:16,22,3.6688128
2000/01/02@12:28:17,23,3.6890626
2000/01/02@12:28:18,24,3.67331268
2000/01/02@12:28:19,25,3.6540004
2000/01/02@12:28:20,26,3.6277504
2000/01/02@12:28:22,28,3.5887504
2000/01/02@12:28:23,29,3.532875
2000/01/02@12:28:24,30,3.4631252
2000/01/02@12:28:25,31,3.39093784
2000/01/02@12:28:26,32,3.3258752
2000/01/02@12:28:27,33,3.2731876
2000/01/02@12:28:28,34,3.2311878
2000/01/02@12:28:29,35,3.1914376
2000/01/02@12:28:30,36,3.1588126
2000/01/02@12:28:31,37,3.1305004
2000/01/02@12:28:32,38,3.1078126
2000/01/02@12:28:34,40,3.08925
2000/01/02@12:28:35,41,3.07275
2000/01/02@12:28:36,42,3.0603752
2000/01/02@12:28:37,43,3.0472502
2000/01/02@12:28:38,44,3.0345002
2000/01/02@12:28:39,45,3.0243752
2000/01/02@12:28:40,46,3.0118128
2000/01/02@12:28:41,47,3.0048752
2000/01/02@12:28:42,48,2.9941876
2000/01/02@12:28:43,49,2.9872504
2000/01/02@12:28:44,50,2.9829376
2000/01/02@12:28:46,52,2.9810626
2000/01/02@12:28:47,53,2.9767502
2000/01/02@12:28:48,54,2.969625
2000/01/02@12:28:49,55,2.9636252
2000/01/02@12:28:50,56,2.959125
2000/01/02@12:28:51,57,2.9555626
2000/01/02@12:28:52,58,2.9518128
2000/01/02@12:28:53,59,2.948625
2000/01/02@12:28:54,60,2.944875
2000/01/02@12:28:55,61,2.941875
2000/01/02@12:28:56,62,2.9386876
2000/01/02@12:28:58,64,2.9353128
2000/01/02@12:28:59,65,2.9326878
2000/01/02@12:29:00,66,2.9304376
2000/01/02@12:29:01,67,2.9285626
2000/01/02@12:29:02,68,2.926125
2000/01/02@12:29:03,69,2.9240624
