datetime,elapsed_s,humidity_percent
2026/08/01@14:07:58,7,39.87335
2026/08/01@14:07:59,8,39.82757
2026/08/01@14:08:00,9,39.63226
2026/08/01@14:08:01,10,39.484244
2026/08/01@14:08:02,11,39.36217
2026/08/01@14:08:03,12,39.246204
2026/08/01@14:08:04,13,39.163808
2026/08/01@14:08:05,14,39.099716
2026/08/01@14:08:06,15,39.099716
2026/08/01@14:08:08,17,39.20653
2026/08/01@14:08:09,18,39.380484
2026/08/01@14:08:10,19,39.52697
2026/08/01@14:08:11,20,39.6582
2026/08/01@14:08:12,21,39.781796
2026/08/01@14:08:13,22,39.900816
2026/08/01@14:08:14,23,39.781796
2026/08/01@14:08:15,24,39.649044
2026/08/01@14:08:16,25,39.758908
2026/08/01@14:08:17,26,39.98474
2026/08/01@14:08:19,28,40.222784
2026/08/01@14:08:20,29,40.555428
2026/08/01@14:08:21,30,40.825512
2026/08/01@14:08:22,31,41.0132
2026/08/01@14:08:23,32,41.17342
2026/08/01@14:08:24,33,41.200884
2026/08/01@14:08:25,34,41.1978336
2026/08/01@14:08:26,35,40.955216
2026/08/01@14:08:27,36,40.758372
2026/08/01@14:08:28,37,40.58442
2026/08/01@14:08:30,39,40.451668
2026/08/01@14:08:31,40,40.45472
2026/08/01@14:08:32,41,40.401312
2026/08/01@14:08:33,42,40.386056
2026/08/01@14:08:34,43,40.321964
2026/08/01@14:08:35,44,40.350956
2026/08/01@14:08:36,45,40.3769
2026/08/01@14:08:37,46,40.309756
2026/08/01@14:08:38,47,40.314336
2026/08/01@14:08:39,48,40.314336
2026/08/01@14:08:41,50,40.317388
2026/08/01@14:08:42,51,40.344852
2026/08/01@14:08:43,52,40.43641
2026/08/01@14:08:44,53,40.5066
2026/08/01@14:08:45,54,40.63783
2026/08/01@14:08:46,55,40.784312
2026/08/01@14:08:47,56,40.76295
2026/08/01@14:08:48,57,41.179524
2026/08/01@14:08:49,58,43.06096
2026/08/01@14:08:50,59,43.95819
2026/08/01@14:08:51,60,43.916992
2026/08/01@14:08:53,62,43.384452
2026/08/01@14:08:54,63,42.917528
