datetime,elapsed_s,humidity_percent
2026/08/01@17:20:14,7,7.7790492
2026/08/01@17:20:15,8,7.76379
2026/08/01@17:20:16,9,7.76379
2026/08/01@17:20:17,10,7.8248264
2026/08/01@17:20:18,11,7.731746
2026/08/01@17:20:20,13,7.7149616
2026/08/01@17:20:21,14,7.7607384
2026/08/01@17:20:22,15,7.7607384
2026/08/01@17:20:23,16,7.71343536
2026/08/01@17:20:24,17,7.7607384
2026/08/01@17:20:25,18,7.80956736
2026/08/01@17:20:26,19,7.759213
2026/08/01@17:20:27,20,7.7286948
2026/08/01@17:20:28,21,7.82330036
2026/08/01@17:20:29,22,7.77447136
2026/08/01@17:20:31,24,7.759213
2026/08/01@17:20:32,25,7.79125636
2026/08/01@17:20:33,26,7.79125636
2026/08/01@17:20:34,27,7.7561608
2026/08/01@17:20:35,28,7.7561608
2026/08/01@17:20:36,29,7.772946
2026/08/01@17:20:37,30,7.742428
2026/08/01@17:20:38,31,7.7561608
2026/08/01@17:20:39,32,7.81872236
2026/08/01@17:20:40,33,7.772946
2026/08/01@17:20:42,35,7.786679
2026/08/01@17:20:43,36,7.786679
2026/08/01@17:20:44,37,7.769894
2026/08/01@17:20:45,38,7.801938
2026/08/01@17:20:46,39,7.786679
2026/08/01@17:20:47,40,7.815671
2026/08/01@17:20:48,41,7.786679
2026/08/01@17:20:49,42,7.800412
2026/08/01@17:20:50,43,7.847715
2026/08/01@17:20:51,44,7.86144836
2026/08/01@17:20:53,46,7.800412
2026/08/01@17:20:54,47,7.82940436
2026/08/01@17:20:55,48,7.82940436
2026/08/01@17:20:56,49,7.814145
2026/08/01@17:20:57,50,7.79736036
2026/08/01@17:20:58,51,7.79736036
2026/08/01@17:20:59,52,7.782101
2026/08/01@17:21:00,53,7.827878
2026/08/01@17:21:01,54,7.827878
2026/08/01@17:21:02,55,7.81109336
2026/08/01@17:21:03,56,7.827878
2026/08/01@17:21:05,58,7.84313736
2026/08/01@17:21:06,59,7.827878
2026/08/01@17:21:07,60,7.795834
2026/08/01@17:21:08,61,7.80956736
2026/08/01@17:21:09,62,7.795834
2026/08/01@17:21:10,63,7.795834
2026/08/01@17:21:11,64,7.795834
2026/08/01@17:21:12,65,7.8248264
2026/08/01@17:21:13,66,7.80651568
2026/08/01@17:21:14,67,7.8553443
2026/08/01@17:21:16,69,7.80651568
2026/08/01@17:21:17,70,7.80651568
2026/08/01@17:21:18,71,7.82330036
2026/08/01@17:21:19,72,7.82330036
2026/08/01@17:21:20,73,7.8690776
2026/08/01@17:21:21,74,7.85229236
2026/08/01@17:21:22,75,7.8202488
2026/08/01@17:21:23,76,7.8370332
2026/08/01@17:21:24,77,7.80499
2026/08/01@17:21:25,78,7.80499
2026/08/01@17:21:27,80,7.8370332
2026/08/01@17:21:28,81,7.8202488
2026/08/01@17:21:29,82,7.85076668
2026/08/01@17:21:30,83,7.85076668
2026/08/01@17:21:31,84,7.847715
2026/08/01@17:21:32,85,7.866026
2026/08/01@17:21:33,86,7.866026
2026/08/01@17:21:34,87,7.847715
2026/08/01@17:21:35,88,7.8645
2026/08/01@17:21:36,89,7.879759
2026/08/01@17:21:38,91,7.8645
2026/08/01@17:21:39,92,7.879759
2026/08/01@17:21:40,93,7.896544
2026/08/01@17:21:41,94,7.846189
2026/08/01@17:21:42,95,7.847715
2026/08/01@17:21:43,96,7.8645
2026/08/01@17:21:44,97,7.815671
2026/08/01@17:21:45,98,7.879759
2026/08/01@17:21:46,99,7.846189
2026/08/01@17:21:47,100,7.896544
2026/08/01@17:21:48,101,7.910277
2026/08/01@17:21:50,103,7.896544
2026/08/01@17:21:51,104,7.971313
2026/08/01@17:21:52,105,7.925536
2026/08/01@17:21:53,106,7.925536
2026/08/01@17:21:54,107,7.95758
2026/08/01@17:21:55,108,7.9240104
2026/08/01@17:21:56,109,7.95758
2026/08/01@17:21:57,110,7.988098
2026/08/01@17:21:58,111,7.9240104
2026/08/01@17:21:59,112,7.956054
2026/08/01@17:22:01,114,7.939269
2026/08/01@17:22:02,115,7.9850468
2026/08/01@17:22:03,116,7.9850468
2026/08/01@17:22:04,117,7.9850468
2026/08/01@17:22:05,118,8.003357
2026/08/01@17:22:06,119,8.033875
2026/08/01@17:22:07,120,8.049134
2026/08/01@17:22:08,121,8.049134
2026/08/01@17:22:09,122,8.126955
2026/08/01@17:22:10,123,8.157474
2026/08/01@17:22:12,125,8.204776
2026/08/01@17:22:13,126,8.23682
2026/08/01@17:22:14,127,8.331426
2026/08/01@17:22:15,128,8.313115
2026/08/01@17:22:16,129,8.313115
2026/08/01@17:22:17,130,8.377203
2026/08/01@17:22:18,131,8.438239
2026/08/01@17:22:19,132,8.487068
2026/08/01@17:22:20,133,8.438239
2026/08/01@17:22:21,134,8.5328456
2026/08/01@17:22:22,135,8.502327
2026/08/01@17:22:24,137,8.580148
2026/08/01@17:22:25,138,8.593882
2026/08/01@17:22:26,139,8.593882
2026/08/01@17:22:27,140,8.610666
2026/08/01@17:22:28,141,8.690013
2026/08/01@17:22:29,142,8.720531
2026/08/01@17:22:30,143,8.690013
2026/08/01@17:22:31,144,8.752575
2026/08/01@17:22:32,145,8.781568
2026/08/01@17:22:33,146,8.752575
2026/08/01@17:22:35,148,8.830396
2026/08/01@17:22:36,149,8.891432
2026/08/01@17:22:37,150,8.876173
2026/08/01@17:22:38,151,8.876173
2026/08/01@17:22:39,152,8.908217
2026/08/01@17:22:40,153,8.908217
2026/08/01@17:22:41,154,8.908217
2026/08/01@17:22:42,155,8.972305
2026/08/01@17:22:43,156,8.95552
2026/08/01@17:22:44,157,8.986038
2026/08/01@17:22:45,158,9.001297
2026/08/01@17:22:47,160,9.08217
2026/08/01@17:22:48,161,9.063859
2026/08/01@17:22:49,162,9.065385
2026/08/01@17:22:50,163,9.111162
2026/08/01@17:22:51,164,9.079118
2026/08/01@17:22:52,165,9.063859
2026/08/01@17:22:53,166,9.033341
2026/08/01@17:22:54,167,9.097429
2026/08/01@17:22:55,168,9.079118
2026/08/01@17:22:56,169,9.079118
2026/08/01@17:22:58,171,9.097429
2026/08/01@17:22:59,172,9.079118
2026/08/01@17:23:00,173,9.033341
2026/08/01@17:23:01,174,9.047074
2026/08/01@17:23:02,175,8.982986
2026/08/01@17:23:03,176,8.999771
2026/08/01@17:23:04,177,9.063859
2026/08/01@17:23:05,178,9.018082
2026/08/01@17:23:06,179,8.999771
2026/08/01@17:23:07,180,9.01503
2026/08/01@17:23:09,182,8.999771
2026/08/01@17:23:10,183,8.969254
2026/08/01@17:23:11,184,8.982986
2026/08/01@17:23:12,185,8.999771
2026/08/01@17:23:13,186,8.969254
2026/08/01@17:23:14,187,8.92195
2026/08/01@17:23:15,188,8.953994
2026/08/01@17:23:16,189,8.905165
2026/08/01@17:23:17,190,8.982986
2026/08/01@17:23:18,191,8.969254
2026/08/01@17:23:19,192,8.953994
2026/08/01@17:23:21,194,9.01503
2026/08/01@17:23:22,195,8.982986
2026/08/01@17:23:23,196,8.999771
2026/08/01@17:23:24,197,8.982986
2026/08/01@17:23:25,198,8.982986
2026/08/01@17:23:26,199,8.982986
2026/08/01@17:23:27,200,8.950942
2026/08/01@17:23:28,201,8.982986
2026/08/01@17:23:29,202,8.950942
2026/08/01@17:23:30,203,8.967727
2026/08/01@17:23:32,205,8.950942
2026/08/01@17:23:33,206,8.981461
2026/08/01@17:23:34,207,8.935683
2026/08/01@17:23:35,208,8.905165
2026/08/01@17:23:36,209,8.92195
2026/08/01@17:23:37,210,8.950942
2026/08/01@17:23:38,211,8.905165
2026/08/01@17:23:39,212,8.935683
2026/08/01@17:23:40,213,8.935683
2026/08/01@17:23:41,214,8.903639
2026/08/01@17:23:43,216,8.92195
2026/08/01@17:23:44,217,8.935683
2026/08/01@17:23:45,218,8.857862
2026/08/01@17:23:46,219,8.918899
2026/08/01@17:23:47,220,8.918899
2026/08/01@17:23:48,221,8.886854
2026/08/01@17:23:49,222,8.9326312
2026/08/01@17:23:50,223,8.903639
2026/08/01@17:23:51,224,8.886854
