datetime,elapsed_s,pressure_hpa
2026/08/01@02:54:23,7,1008.1429
2026/08/01@02:54:24,8,1008.14792
2026/08/01@02:54:25,9,1008.10184
2026/08/01@02:54:27,11,1008.1495
2026/08/01@02:54:28,12,1008.17508
2026/08/01@02:54:29,13,1008.15284
2026/08/01@02:54:30,14,1008.1386
2026/08/01@02:54:31,15,1008.10976
2026/08/01@02:54:32,16,1008.1474
2026/08/01@02:54:33,17,1008.1355
2026/08/01@02:54:34,18,1008.1188
2026/08/01@02:54:35,19,1008.105
2026/08/01@02:54:36,20,1008.1697
2026/08/01@02:54:37,21,1008.1523
2026/08/01@02:54:38,22,1008.12216
2026/08/01@02:54:40,24,1008.1746
2026/08/01@02:54:41,25,1008.1066
2026/08/01@02:54:42,26,1008.1638
2026/08/01@02:54:43,27,1008.1362
