datetime,elapsed_s,pressure_hpa
2000/01/01@00:00:07,7,975.5578
2000/01/01@00:00:08,8,975.59484
2000/01/01@00:00:09,9,975.60176
2000/01/01@00:00:10,10,975.587136
2000/01/01@00:00:11,11,975.5404
2000/01/01@00:00:12,12,975.565264
2000/01/01@00:00:14,14,975.5079
2000/01/01@00:00:15,15,975.5143
2000/01/01@00:00:16,16,975.4785
2000/01/01@00:00:17,17,975.532864
2000/01/01@00:00:18,18,975.54208
2000/01/01@00:00:19,19,975.54584
2000/01/01@00:00:20,20,975.53144
2000/01/01@00:00:21,21,975.5761
2000/01/01@00:00:22,22,975.54132
2000/01/01@00:00:23,23,975.52652
2000/01/01@00:00:24,24,975.54048
2000/01/01@00:00:25,25,975.5397
2000/01/01@00:00:27,27,975.5606
2000/01/01@00:00:28,28,975.57512
2000/01/01@00:00:29,29,975.5728
2000/01/01@00:00:30,30,975.57624
2000/01/01@00:00:31,31,975.55776
2000/01/01@00:00:32,32,975.5742
2000/01/01@00:00:33,33,975.56308
2000/01/01@00:00:34,34,975.55508
2000/01/01@00:00:35,35,975.55508
2000/01/01@00:00:36,36,975.5432
2000/01/01@00:00:37,37,975.551632
2000/01/01@00:00:38,38,975.57908
2000/01/01@00:00:40,40,975.5868
2000/01/01@00:00:41,41,975.5535
2000/01/01@00:00:42,42,975.53348
2000/01/01@00:00:43,43,975.5667
2000/01/01@00:00:44,44,975.55304
2000/01/01@00:00:45,45,975.532064
2000/01/01@00:00:46,46,975.5806
2000/01/01@00:00:47,47,975.5108
2000/01/01@00:00:48,48,975.5441
2000/01/01@00:00:49,49,975.56696
2000/01/01@00:00:50,50,975.5564
2000/01/01@00:00:51,51,975.5613
2000/01/01@00:00:53,53,975.5497
2000/01/01@00:00:54,54,975.4963
2000/01/01@00:00:55,55,975.51376
2000/01/01@00:00:56,56,975.5786
2000/01/01@00:00:57,57,975.5718
2000/01/01@00:00:58,58,975.5899
2000/01/01@00:00:59,59,975.55112
2000/01/01@00:01:00,60,975.5924
2000/01/01@00:01:01,61,975.5798
2000/01/01@00:01:02,62,975.553
2000/01/01@00:01:03,63,975.58708
2000/01/01@00:01:05,65,975.5912
2000/01/01@00:01:06,66,975.5834
2000/01/01@00:01:07,67,975.58264
2000/01/01@00:01:08,68,975.58732
2000/01/01@00:01:09,69,975.589264
2000/01/01@00:01:10,70,975.5867
2000/01/01@00:01:11,71,975.5729
2000/01/01@00:01:12,72,975.59176
2000/01/01@00:01:13,73,975.5507
2000/01/01@00:01:14,74,975.56056
2000/01/01@00:01:15,75,975.57132
2000/01/01@00:01:16,76,975.580432
2000/01/01@00:01:18,78,975.5518
2000/01/01@00:01:19,79,975.5611
2000/01/01@00:01:20,80,975.5478
2000/01/01@00:01:21,81,975.55912
2000/01/01@00:01:22,82,975.5421
2000/01/01@00:01:23,83,975.55024
2000/01/01@00:01:24,84,975.555
2000/01/01@00:01:25,85,975.5592
2000/01/01@00:01:26,86,975.5351
2000/01/01@00:01:27,87,975.5494
2000/01/01@00:01:28,88,975.53672
2000/01/01@00:01:29,89,975.5554
2000/01/01@00:01:31,91,975.5595
2000/01/01@00:01:32,92,975.53592
2000/01/01@00:01:33,93,975.5082
2000/01/01@00:01:34,94,975.50744
2000/01/01@00:01:35,95,975.5485
2000/01/01@00:01:36,96,975.56536
2000/01/01@00:01:37,97,975.5642
2000/01/01@00:01:38,98,975.5397
2000/01/01@00:01:39,99,975.519168
2000/01/01@00:01:40,100,975.4821
