datetime,elapsed_s,pressure_hpa
2000/01/01@05:09:34,8,976.2533
2000/01/01@05:09:35,9,976.27576
2000/01/01@05:09:36,10,976.26308
2000/01/01@05:09:37,11,976.2508
2000/01/01@05:09:38,12,976.25352
2000/01/01@05:09:39,13,976.2301
2000/01/01@05:09:41,15,976.26984
2000/01/01@05:09:42,16,976.2829
2000/01/01@05:09:43,17,976.345664
2000/01/01@05:09:44,18,976.315
2000/01/01@05:09:45,19,976.30632
2000/01/01@05:09:46,20,976.2944
2000/01/01@05:09:47,21,976.23484
2000/01/01@05:09:48,22,976.2056
2000/01/01@05:09:49,23,976.2318
2000/01/01@05:09:50,24,976.2377
2000/01/01@05:09:51,25,976.217968
2000/01/01@05:09:52,26,976.2517
2000/01/01@05:09:54,28,976.23304
2000/01/01@05:09:55,29,976.2325
2000/01/01@05:09:56,30,976.2536
2000/01/01@05:09:57,31,976.2367
2000/01/01@05:09:58,32,976.2139
2000/01/01@05:09:59,33,976.2399
2000/01/01@05:10:00,34,976.1951
2000/01/01@05:10:01,35,976.2092
2000/01/01@05:10:02,36,976.2621
2000/01/01@05:10:03,37,976.21952
2000/01/01@05:10:04,38,976.2356
2000/01/01@05:10:05,39,976.2127
2000/01/01@05:10:07,41,976.2543
2000/01/01@05:10:08,42,976.2396
2000/01/01@05:10:09,43,976.2736
2000/01/01@05:10:10,44,976.3318
2000/01/01@05:10:11,45,976.33984
2000/01/01@05:10:12,46,976.2659
2000/01/01@05:10:13,47,976.28032
2000/01/01@05:10:14,48,976.2994
2000/01/01@05:10:15,49,976.32652
2000/01/01@05:10:16,50,976.274064
2000/01/01@05:10:17,51,976.2543
2000/01/01@05:10:19,53,976.2759
2000/01/01@05:10:20,54,976.300064
2000/01/01@05:10:21,55,976.3187
2000/01/01@05:10:22,56,976.3274
2000/01/01@05:10:23,57,976.3745
2000/01/01@05:10:24,58,976.3258
2000/01/01@05:10:25,59,976.35736
2000/01/01@05:10:26,60,976.3125
2000/01/01@05:10:27,61,976.3412
2000/01/01@05:10:28,62,976.3451
2000/01/01@05:10:29,63,976.3097
2000/01/01@05:10:30,64,976.342032
2000/01/01@05:10:32,66,976.28824
2000/01/01@05:10:33,67,976.300864
2000/01/01@05:10:34,68,976.2788
2000/01/01@05:10:35,69,976.36016
2000/01/01@05:10:36,70,976.2914
