datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2000/01/17@00:14:52,33,-0.48101808,0.354614268,-0.7607422,-1.7557252,1.3358779,-3.80916032
2000/01/17@00:14:53,34,-0.5285034,0.43896484,-0.6754761,-5.5648856,-37.82443,38.282444
2000/01/17@00:14:55,35,-0.7952881,0.315979,-0.41186524,52.67939,-124.56489,-13.7404568
2000/01/17@00:14:56,37,-0.7045288,0.210571292,-0.5942993,-8.022901,-2.6564886,5.0534352
2000/01/17@00:14:57,38,-0.6561279,0.31243896,-0.65026856,-1.610687,5.2900764,-3.740458
2000/01/17@00:14:58,39,-0.041259764,0.066589352,0.96588136,6.9923668,-18.435114,-41.099236
2000/01/17@00:14:59,40,-0.09729004,0.062561032,1.3189697,-5.412214,-8.0,10.78626
2000/01/17@00:15:00,41,-0.4953003,0.27612304,0.74053956,-19.648856,-51.67939,-20.412214
2000/01/17@00:15:01,42,-0.010498047,0.06762695,1.0470581,3.41221368,-3.8473282,-11.091603
2000/01/17@00:15:02,43,0.026733398,0.12194824,1.048645,-0.007633588,-0.091603052,-0.9312977
2000/01/17@00:15:03,44,0.027954102,0.11456299,1.0379028,-1.5648855,1.2900764,-1.0
2000/01/17@00:15:04,45,0.024902344,0.113586424,1.0401001,-1.29771,1.0839695,-1.0076336
2000/01/17@00:15:05,46,0.02709961,0.11248779,1.0411377,-1.5954199,1.167939,-1.0763359
2000/01/17@00:15:06,47,0.02545166,0.111450192,1.041565,-1.4503816,1.1221374,-1.1068702
2000/01/17@00:15:07,48,0.026672364,0.11303711,1.0385742,-1.4961832,1.0458015,-1.1526718
2000/01/17@00:15:08,49,0.024658204,0.11450195,1.039856,-1.4503816,1.1908396,-1.1450381
2000/01/17@00:15:09,50,0.02709961,0.11242676,1.0408325,-1.5114504,1.1526718,-1.0229008
2000/01/17@00:15:10,51,0.026794434,0.11224365,1.0388794,-1.3206106,1.0610686,-1.038168
2000/01/17@00:15:11,52,0.0265502932,0.11303711,1.0405274,-1.3664122,0.99236643,-1.1603054
2000/01/17@00:15:13,54,0.025756836,0.11352539,1.0423584,-1.71755732,1.2061069,-0.9694657
2000/01/17@00:15:14,55,0.02508545,0.11224365,1.0420532,-1.1603054,0.83206104,-1.1145039
2000/01/17@00:15:15,56,0.024291992,0.11193848,1.039917,-1.1755725,1.0152671,-1.091603
2000/01/17@00:15:16,57,0.0289917,0.11206055,1.0401001,-1.2366412,0.9389313,-0.977099264
2000/01/17@00:15:17,58,0.02734375,0.11053467,1.0409546,-1.4427481,1.0534351,-1.167939
2000/01/17@00:15:18,59,0.024536132,0.11419678,1.041687,-1.4503816,1.0839695,-1.0992366
2000/01/17@00:15:19,60,0.025756836,0.11254883,1.0377197,-1.3816794,1.1068702,-0.977099264
2000/01/17@00:15:20,61,0.024108886,0.11248779,1.0424194,-1.4580153,1.0839695,-1.0152671
2000/01/17@00:15:21,62,0.026733398,0.113342284,1.0380859,-1.29771,1.129771,-1.1145039
2000/01/17@00:15:22,63,0.025756836,0.11212158,1.038208,-1.2900764,1.1374046,-1.129771
2000/01/17@00:15:23,64,0.024902344,0.11230469,1.041565,-1.4885496,1.0763359,-0.99236643
2000/01/17@00:15:24,65,0.025878906,0.11004639,1.0422363,-1.4656489,1.038168,-1.0458015
2000/01/17@00:15:25,66,0.026306152,0.11273193,1.0423584,-1.2442748,1.0076336,-0.9847328
2000/01/17@00:15:26,67,0.026123046,0.11224365,1.0411987,-1.4503816,1.1526718,-1.0992366
2000/01/17@00:15:27,68,0.02722168,0.11450195,1.0408325,-1.3587786,1.0458015,-1.2137405
2000/01/17@00:15:28,69,0.025878906,0.1116333,1.0374146,-1.4885496,1.0534351,-0.90839692
2000/01/17@00:15:30,71,0.026733398,0.111572264,1.038208,-1.5801526,1.221374,-1.1450381
2000/01/17@00:15:31,72,0.023986816,0.11273193,1.0420532,-1.5572519,1.0839695,-1.0076336
2000/01/17@00:15:32,73,0.026428222,0.11187744,1.0419922,-1.4580153,1.0152671,-1.0458015
2000/01/17@00:15:33,74,0.028320312,0.11315918,1.038147,-1.3816794,1.091603,-1.0534351
2000/01/17@00:15:34,75,0.027282714,0.11193848,1.0383911,-1.5267176,1.1832061,-1.0687023
2000/01/17@00:15:35,76,0.027832032,0.11242676,1.0418701,-1.3664122,1.1450381,-0.86259544
2000/01/17@00:15:36,77,0.025817872,0.11413574,1.0397949,-1.5343511,1.0839695,-1.129771
2000/01/17@00:15:37,78,0.026062012,0.111450192,1.0413208,-1.3816794,1.0534351,-1.1221374
2000/01/17@00:15:38,79,0.025268554,0.11419678,1.039917,-1.3664122,1.0229008,-1.038168
2000/01/17@00:15:39,80,0.022705078,0.11383057,1.0403442,-1.1755725,0.9847328,-0.9694657
2000/01/17@00:15:40,81,0.0238037108,0.10974121,1.0404053,-1.038168,0.8396947,-1.0534351
2000/01/17@00:15:41,82,0.024291992,0.111206056,1.0421142,-1.4732824,1.2366412,-1.0534351
2000/01/17@00:15:42,83,0.024963378,0.11010742,1.0422974,-1.4274809,1.0992366,-1.0992366
2000/01/17@00:15:43,84,0.023498536,0.113220216,1.0405274,-1.4580153,0.9847328,-0.961832064
2000/01/17@00:15:44,85,0.02557373,0.111206056,1.0419312,-1.3816794,1.2061069,-1.0152671
2000/01/17@00:15:45,86,0.024536132,0.11151123,1.0430908,-1.351145,1.1145039,-1.0534351
2000/01/17@00:15:46,87,0.022888184,0.11029053,1.0401611,-1.4351145,1.1145039,-1.0992366
2000/01/17@00:15:48,89,0.023376464,0.111450192,1.0396118,-1.4580153,1.0076336,-0.977099264
2000/01/17@00:15:49,90,0.022216796,0.109313968,1.0421753,-1.2442748,1.0229008,-1.0305344
2000/01/17@00:15:50,91,0.024169922,0.11126709,1.0380249,-1.0763359,1.0458015,-0.9465649
2000/01/17@00:15:51,92,0.023864746,0.10992432,1.0393066,-1.3969466,1.129771,-1.0
2000/01/17@00:15:52,93,0.023925782,0.10797119,1.0385132,-1.2290076,1.0152671,-1.1603054
2000/01/17@00:15:53,94,0.0242309568,0.11047363,1.0426636,-1.3969466,0.9236641,-1.0610686
2000/01/17@00:15:54,95,0.022888184,0.11279297,1.0384522,-1.2442748,1.0229008,-1.0687023
2000/01/17@00:15:55,96,0.02532959,0.11248779,1.0403442,-1.2900764,1.0839695,-1.1145039
2000/01/17@00:15:56,97,0.022888184,0.11047363,1.0424194,-1.3206106,1.0839695,-1.091603
2000/01/17@00:15:57,98,0.02319336,0.11053467,1.0390015,-1.0458015,0.870229,-1.129771
2000/01/17@00:15:58,99,0.029846192,0.11846924,1.0559082,-1.80152668,1.4198474,-0.9465649
2000/01/17@00:15:59,100,0.024047852,0.1105957,1.0386963,-1.6030534,1.1526718,-1.0534351
2000/01/17@00:16:00,101,0.027038574,0.11114502,1.0369263,-1.4961832,1.2061069,-1.038168
2000/01/17@00:16:01,102,0.026184082,0.113586424,1.0384522,-1.1755725,0.7480916,-1.0610686
2000/01/17@00:16:02,103,0.024780274,0.111816408,1.0344238,-1.2366412,1.1068702,-1.1145039
2000/01/17@00:16:03,104,0.023864746,0.113098144,1.0407104,-1.4885496,1.1526718,-1.0229008
2000/01/17@00:16:05,106,0.025024414,0.110839836,1.0386963,-1.2137405,0.90839692,-1.0839695
2000/01/17@00:16:06,107,0.024963378,0.11010742,1.0424805,-1.519084,1.259542,-1.1450381
2000/01/17@00:16:07,108,0.025634766,0.11187744,1.0393677,-1.5343511,1.129771,-1.0534351
2000/01/17@00:16:08,109,0.026794434,0.11419678,1.0369263,-1.0458015,0.7557252,-1.259542
2000/01/17@00:16:09,110,0.025634766,0.11212158,1.0428467,-1.2671756,0.9694657,-1.0534351
2000/01/17@00:16:10,111,0.022583008,0.11175537,1.0394898,-1.80152668,1.2366412,-1.0229008
2000/01/17@00:16:11,112,0.02557373,0.11218262,1.0388794,-1.3435115,1.091603,-1.038168
2000/01/17@00:16:12,113,0.024108886,0.11151123,1.0383911,-1.4503816,1.1755725,-1.0229008
2000/01/17@00:16:13,114,0.024353028,0.109680176,1.0391846,-1.4198474,1.1755725,-0.99236643
2000/01/17@00:16:14,115,0.024597168,0.11401367,1.0390625,-1.2671756,0.9847328,-1.0458015
2000/01/17@00:16:15,116,0.0253906252,0.11175537,1.038208,-1.5114504,1.0076336,-1.0458015
2000/01/17@00:16:16,117,0.025817872,0.11035156,1.0390015,-1.5419847,1.1603054,-0.99236643
2000/01/17@00:16:17,118,0.022583008,0.11053467,1.0379028,-1.5038168,1.1068702,-1.1526718
2000/01/17@00:16:18,119,0.02508545,0.111328132,1.0391235,-1.3740458,1.0687023,-0.9847328
2000/01/17@00:16:19,120,0.023254394,0.11224365,1.0397949,-1.6564885,1.2290076,-0.99236643
2000/01/17@00:16:20,121,0.016723632,0.10736084,1.0422974,-1.5343511,1.0763359,-1.0
2000/01/17@00:16:22,123,0.018798828,0.10900879,1.0378418,-1.3435115,1.038168,-1.0305344
2000/01/17@00:16:23,124,0.018493652,0.10546875,1.0380859,-1.519084,1.0763359,-1.1221374
2000/01/17@00:16:24,125,0.018920898,0.10986328,1.0391846,-1.4732824,1.0687023,-1.0076336
2000/01/17@00:16:25,126,0.01953125,0.10882568,1.0386963,-1.5419847,1.0992366,-0.99236643
2000/01/17@00:16:26,127,0.0191650384,0.10900879,1.0388184,-1.129771,0.8854962,-1.0687023
2000/01/17@00:16:27,128,0.0175781252,0.10839844,1.0393677,-1.5496184,1.0076336,-1.0458015
2000/01/17@00:16:28,129,0.019592286,0.10723877,1.0441894,-1.5343511,1.1984733,-1.0992366
2000/01/17@00:16:29,130,0.018127442,0.10736084,1.0374146,-1.389313,0.9465649,-0.9694657
2000/01/17@00:16:30,131,0.0187377932,0.10699463,1.0414429,-1.2519084,0.9694657,-0.99236643
2000/01/17@00:16:31,132,0.0187377932,0.10845947,1.043335,-1.2137405,0.9236641,-1.1221374
2000/01/17@00:16:32,133,0.017333984,0.105773928,1.0413818,-1.6564885,1.259542,-1.0534351
2000/01/17@00:16:33,134,0.01727295,0.1083374,1.0393066,-1.6030534,1.3206106,-1.0992366
2000/01/17@00:16:34,135,0.018615722,0.109313968,1.0396118,-1.1755725,0.961832064,-1.1374046
2000/01/17@00:16:35,136,0.018493652,0.109558104,1.0380249,-1.091603,0.8854962,-1.1450381
2000/01/17@00:16:36,137,0.016479492,0.1071167,1.0386352,-1.4961832,1.0458015,-1.091603
2000/01/17@00:16:37,138,0.016540528,0.11090088,1.0390625,-1.6564885,1.167939,-1.0
2000/01/17@00:16:39,140,0.018920898,0.10748291,1.0383911,-1.1603054,0.9847328,-1.1145039
2000/01/17@00:16:40,141,0.01727295,0.1105957,1.043396,-1.9923664,1.6030534,-1.0992366
2000/01/17@00:16:41,142,0.018554688,0.11022949,1.0404053,-1.2824427,0.977099264,-1.0152671
2000/01/17@00:16:42,143,0.015136719,0.10559082,1.0418701,-1.3969466,0.977099264,-1.0992366
2000/01/17@00:16:43,144,0.019836426,0.11004639,1.0421142,-1.259542,0.9160305,-1.0305344
2000/01/17@00:16:44,145,0.01965332,0.110839836,1.039978,-1.2519084,1.0076336,-0.99236643
2000/01/17@00:16:45,146,0.007873535,0.07067871,1.0418701,-1.389313,1.1145039,-0.9847328
2000/01/17@00:16:46,147,0.008544922,0.07348633,1.0463257,-1.3129771,1.1374046,-1.038168
2000/01/17@00:16:47,148,0.009338379,0.071777348,1.0440674,-1.5267176,1.091603,-1.038168
2000/01/17@00:16:48,149,0.008361816,0.071777348,1.0424805,-1.4351145,1.0305344,-1.129771
2000/01/17@00:16:49,150,0.010925293,0.07098389,1.0426025,-1.3740458,0.9236641,-1.0229008
2000/01/17@00:16:50,151,0.008361816,0.072143552,1.041626,-1.351145,1.0992366,-1.0076336
2000/01/17@00:16:51,152,0.009094238,0.07092285,1.0454102,-1.389313,1.0458015,-1.1068702
2000/01/17@00:16:52,153,0.009033203,0.0715332,1.0410156,-1.3664122,1.0687023,-0.977099264
2000/01/17@00:16:53,154,0.009765625,0.07128906,1.043396,-1.3816794,1.1145039,-1.038168
2000/01/17@00:16:54,155,0.010375977,0.0726318336,1.0459595,-1.4885496,0.9847328,-1.0534351
