datetime,elapsed_s,voltage
2000/01/01@00:18:15,7,2.2241252
2000/01/01@00:18:16,8,2.2248752
2000/01/01@00:18:17,9,2.22475
2000/01/01@00:18:18,10,2.22475
2000/01/01@00:18:19,11,2.224625
2000/01/01@00:18:21,13,2.22475
2000/01/01@00:18:22,14,2.22475
2000/01/01@00:18:23,15,2.224375
2000/01/01@00:18:24,16,2.224625
2000/01/01@00:18:25,17,2.224375
2000/01/01@00:18:26,18,2.22475
2000/01/01@00:18:27,19,2.2245002
2000/01/01@00:18:28,20,2.22475
2000/01/01@00:18:29,21,2.224375
2000/01/01@00:18:30,22,2.2245002
2000/01/01@00:18:31,23,2.2245002
2000/01/01@00:18:33,25,2.22475
