datetime,elapsed_s,voltage
2000/01/01@00:18:46,7,2.2235
2000/01/01@00:18:47,8,2.2245002
2000/01/01@00:18:48,9,2.224375
2000/01/01@00:18:49,10,2.224375
2000/01/01@00:18:50,11,2.224375
2000/01/01@00:18:51,12,2.22425
2000/01/01@00:18:52,13,2.224375
2000/01/01@00:18:53,14,2.22425
2000/01/01@00:18:54,15,2.224375
2000/01/01@00:18:55,16,2.2245002
2000/01/01@00:18:56,17,2.224375
2000/01/01@00:18:57,18,2.2245002
2000/01/01@00:18:59,20,2.224375
2000/01/01@00:19:00,21,2.224375
2000/01/01@00:19:01,22,2.224375
2000/01/01@00:19:02,23,2.224375
2000/01/01@00:19:03,24,2.2245002
2000/01/01@00:19:04,25,2.224375
2000/01/01@00:19:05,26,2.224375
2000/01/01@00:19:06,27,2.2245002
2000/01/01@00:19:07,28,2.2240002
2000/01/01@00:19:08,29,2.2240002
2000/01/01@00:19:10,31,2.2241252
2000/01/01@00:19:11,32,2.223875
2000/01/01@00:19:12,33,2.22425
2000/01/01@00:19:13,34,2.2266252
2000/01/01@00:19:14,35,2.229875
2000/01/01@00:19:15,36,2.2736252
2000/01/01@00:19:16,37,2.34625
2000/01/01@00:19:17,38,2.493
2000/01/01@00:19:18,39,2.4970002
2000/01/01@00:19:19,40,2.5205002
2000/01/01@00:19:20,41,2.522875
2000/01/01@00:19:22,43,2.5045002
2000/01/01@00:19:23,44,2.5308752
2000/01/01@00:19:24,45,2.53025
2000/01/01@00:19:25,46,2.5340002
2000/01/01@00:19:26,47,2.528125
2000/01/01@00:19:27,48,2.5496252
2000/01/01@00:19:28,49,2.5535002
2000/01/01@00:19:29,50,2.5677502
2000/01/01@00:19:30,51,2.52425
2000/01/01@00:19:31,52,2.5425
2000/01/01@00:19:32,53,2.4625
2000/01/01@00:19:34,55,2.5461252
2000/01/01@00:19:35,56,2.520625
2000/01/01@00:19:36,57,2.478125
2000/01/01@00:19:37,58,2.4901252
2000/01/01@00:19:38,59,2.5225
2000/01/01@00:19:39,60,2.5382502
2000/01/01@00:19:40,61,2.549375
2000/01/01@00:19:41,62,2.6011252
2000/01/01@00:19:42,63,2.6128752
2000/01/01@00:19:43,64,2.5942502
2000/01/01@00:19:44,65,2.61325
2000/01/01@00:19:46,67,2.61925
2000/01/01@00:19:50,71,2.7178752
2000/01/01@00:20:04,85,2.5583752
2000/01/01@00:20:18,99,2.5087502
2000/01/01@00:20:32,113,2.221375
2000/01/01@00:20:46,127,2.222875
2000/01/01@00:21:01,142,2.2231252
2000/01/01@00:21:15,156,2.223375
2000/01/01@00:21:29,170,2.223375
2000/01/01@00:21:43,184,2.2236252
2000/01/01@00:21:57,198,2.223375
2000/01/01@00:22:12,213,2.2232502
2000/01/01@00:22:26,227,2.2236252
2000/01/01@00:22:40,241,2.223375
2000/01/01@00:22:54,255,2.2236252
2000/01/01@00:23:08,269,2.2232502
2000/01/01@00:23:23,284,2.2231252
2000/01/01@00:23:37,298,2.2232502
2000/01/01@00:23:51,312,2.222625
2000/01/01@00:24:05,326,2.2222502
