datetime,elapsed_s,temperature_c
None,7,34.475016
None,8,34.45001
None,9,34.45001
None,10,34.425024
None,11,34.45001
None,12,34.425024
None,13,34.40001
None,14,34.375024
None,15,34.375024
None,16,34.375024
None,18,34.375024
None,19,34.350012
None,20,34.350012
None,21,34.375024
None,22,34.40001
None,23,34.425024
None,24,34.475016
None,25,34.475016
None,26,34.90002
None,27,38.52501
None,28,38.52501
None,29,38.52501
None,30,38.52501
None,32,38.500024
None,33,38.475012
None,34,38.500024
None,35,38.52501
None,36,38.52501
None,37,38.55002
None,38,38.52501
None,39,38.52501
None,40,38.52501
None,41,38.55002
None,42,38.600016
None,43,38.85002
None,45,36.975004
None,46,38.875008
None,47,38.85002
None,48,38.950016
None,49,38.950016
None,50,38.950016
None,51,38.925004
None,52,38.900016
None,53,38.900016
None,54,38.900016
None,55,41.800024
None,56,41.850016
None,57,41.900016
None,59,41.950012
None,60,41.9250268
None,61,41.900016
None,62,41.9250268
None,63,41.9250268
None,64,41.900016
None,65,41.9250268
None,66,41.950012
None,67,41.950012
None,68,41.950012
None,69,42.000008
