datetime,elapsed_s,uvindex
2026/08/01@09:12:19,7,0.046086956
2026/08/01@09:12:20,8,0.045652172
2026/08/01@09:12:21,9,0.045652172
2026/08/01@09:12:23,11,0.04695652
2026/08/01@09:12:24,12,0.045652172
2026/08/01@09:12:25,13,0.045652172
2026/08/01@09:12:26,14,0.045652172
2026/08/01@09:12:27,15,0.045652172
2026/08/01@09:12:28,16,0.045652172
2026/08/01@09:12:29,17,0.04478261
2026/08/01@09:12:30,18,0.04478261
2026/08/01@09:12:31,19,0.04478261
2026/08/01@09:12:32,20,0.045652172
2026/08/01@09:12:33,21,0.045652172
2026/08/01@09:12:34,22,0.04478261
2026/08/01@09:12:36,24,0.04478261
2026/08/01@09:12:37,25,0.04478261
2026/08/01@09:12:38,26,0.045652172
2026/08/01@09:12:39,27,0.045652172
2026/08/01@09:12:40,28,0.044347828
2026/08/01@09:12:41,29,0.044347828
2026/08/01@09:12:42,30,0.044347828
2026/08/01@09:12:43,31,0.04478261
2026/08/01@09:12:44,32,0.044347828
2026/08/01@09:12:45,33,0.043913044
2026/08/01@09:12:46,34,0.043913044
2026/08/01@09:12:47,35,0.043913044
2026/08/01@09:12:49,37,0.04478261
2026/08/01@09:12:50,38,0.044347828
2026/08/01@09:12:51,39,0.043913044
2026/08/01@09:12:52,40,0.043913044
2026/08/01@09:12:53,41,0.04304348
2026/08/01@09:12:54,42,0.04304348
2026/08/01@09:12:55,43,0.04304348
2026/08/01@09:12:56,44,0.042173916
2026/08/01@09:12:57,45,0.042173916
2026/08/01@09:12:58,46,0.042173916
2026/08/01@09:12:59,47,0.042173916
2026/08/01@09:13:00,48,0.040869564
2026/08/01@09:13:02,50,0.040869564
2026/08/01@09:13:03,51,0.008260869
2026/08/01@09:13:04,52,0.008260869
2026/08/01@09:13:05,53,0.006521739
2026/08/01@09:13:06,54,0.00739130432
2026/08/01@09:13:07,55,0.006956522
2026/08/01@09:13:08,56,0.006521739
2026/08/01@09:13:09,57,0.005652174
2026/08/01@09:13:10,58,0.006521739
2026/08/01@09:13:11,59,0.005652174
2026/08/01@09:13:12,60,0.030869566
2026/08/01@09:13:13,61,0.03521739
2026/08/01@09:13:15,63,0.033913044
2026/08/01@09:13:16,64,0.035652176
2026/08/01@09:13:17,65,0.037391304
2026/08/01@09:13:18,66,0.039565216
2026/08/01@09:13:19,67,0.039130436
2026/08/01@09:13:20,68,0.038695652
2026/08/01@09:13:21,69,0.038695652
2026/08/01@09:13:22,70,0.039130436
2026/08/01@09:13:23,71,0.039130436
2026/08/01@09:13:24,72,0.04043478
2026/08/01@09:13:25,73,0.040869564
2026/08/01@09:13:26,74,0.04043478
2026/08/01@09:13:28,76,0.04043478
2026/08/01@09:13:29,77,0.038695652
2026/08/01@09:13:30,78,0.038695652
2026/08/01@09:13:31,79,0.039130436
2026/08/01@09:13:32,80,0.037826088
2026/08/01@09:13:33,81,0.037391304
2026/08/01@09:13:34,82,0.036956524
2026/08/01@09:13:35,83,0.03521739
2026/08/01@09:13:36,84,0.034347824
2026/08/01@09:13:37,85,0.033913044
2026/08/01@09:13:38,86,0.03347826
2026/08/01@09:13:39,87,0.032173912
2026/08/01@09:13:41,89,0.03173913
2026/08/01@09:13:42,90,0.03173913
2026/08/01@09:13:43,91,0.030434782
2026/08/01@09:13:44,92,0.03
2026/08/01@09:13:45,93,0.030434782
2026/08/01@09:13:46,94,0.029130434
2026/08/01@09:13:47,95,0.029130434
2026/08/01@09:13:48,96,0.02826087
2026/08/01@09:13:49,97,0.027391306
2026/08/01@09:13:50,98,0.025652174
2026/08/01@09:13:51,99,0.024347826
2026/08/01@09:13:52,100,0.02347826
2026/08/01@09:13:54,102,0.022173914
2026/08/01@09:13:55,103,0.022173914
