alt,temp
0.977,27.75
1.0312,27.76
1.086,27.75
1.1404,27.76
1.1948,27.76
1.2492,27.77
1.3042,27.77
1.3592,27.77
1.4136,27.78
1.4684,27.77
1.5228,27.77
1.577,27.78
1.6314,27.78
1.6862,27.78
1.7406,27.78
1.795,27.78
1.8504,27.78
1.9048,27.79
1.9592,27.79
2.0136,27.78
2.0684,27.79
2.1226,27.79
2.177,27.79
2.2314,27.79
2.2868,27.80
2.3412,27.80
2.3956,27.80
2.4504,27.80
2.5048,27.80
2.5592,27.80
2.6136,27.80
2.6684,27.80
2.7234,27.80
2.7778,27.81
2.8322,27.80
2.887,27.80
2.9414,27.81
2.9958,27.80
3.0506,27.81
3.105,27.81
3.1594,27.81
3.2142,27.81
3.2692,27.81
3.3236,27.81
3.378,27.81
3.4328,27.81
3.4872,27.82
3.5416,27.81
3.596,27.81
3.6514,27.82
3.7058,27.81
3.7602,27.82
3.8144,27.82
3.8694,27.82
3.9236,27.82
3.978,27.82
4.0328,27.82
4.0878,27.83
4.1422,27.83
4.1966,27.82
4.2514,27.83
4.3058,27.83
4.3602,27.83
4.4146,27.83
4.4694,27.83
4.5244,27.83
4.5788,27.83
4.6334,27.83
4.6878,27.83
4.7422,27.83
4.7966,27.84
4.8514,27.83
4.9056,27.83
4.96,27.84
5.015,27.84
5.0698,27.84
5.1242,27.84
5.1786,27.84
5.2334,27.83
5.288,27.84
5.3424,27.84
5.3968,27.84
5.4522,27.84
5.5066,27.84
5.561,27.84
5.6158,27.84
5.6702,27.84
5.7246,27.85
5.779,27.84
5.834,27.84
5.889,27.85
5.9434,27.85
5.9978,27.85
6.0526,27.85
6.1072,27.85
6.1616,27.84
6.2164,27.85
6.2708,27.85
6.3258,27.85
6.3802,27.84
6.435,27.84
6.4894,27.84
6.5438,27.84
6.5982,27.84
6.653,27.83
6.7074,27.83
6.762,27.83
6.8174,27.83
6.8718,27.83
6.9262,27.83
6.9806,27.84
7.0356,27.84
7.09,27.84
7.1444,27.84
7.1992,27.84
7.2542,27.85
7.3086,27.85
7.363,27.85
7.418,27.85
7.4724,27.85
7.5268,27.85
7.5812,27.85
7.636,27.85
7.691,27.85
7.7454,27.85
7.8008,27.86
7.8552,27.85
7.9094,27.85
7.9638,27.85
8.0186,27.85
8.073,27.85
8.128,27.85
8.1824,27.85
8.2372,27.85
8.2916,27.85
8.346,27.85
8.4008,27.86
8.4552,27.86
8.5096,27.85
8.564,27.86
8.6194,27.85
8.6738,27.86
8.7282,27.86
8.7826,27.86
8.8376,27.86
8.892,27.86
8.9464,27.86
9.0012,27.86
9.0562,27.86
