Elevation_m,Temperature_K,Pressure_bar,Relative_Density,Density,Kinematic_Visc_1e-5_m2_s,Speed_of_Sound_m_s
-2000,299.2925824584481,1.2842750332867974,1.1980073274816503,1.2888486242736563,2.6939066069502506,351.18881603158513
-1500,297.3839616987563,1.2111149193245645,1.1168596134843038,1.3398909305870426,2.479504986138944,349.5992613998983
-1000,291.5117706337544,1.131158951544599,1.0838500897912384,1.3879847720521026,2.6978960165249557,343.0991071538242
-500,290.9090700010331,1.0892752294117192,1.017061316267259,1.3261210827550696,2.7798911477333337,345.16771566790817
0,285.238274565108,1.003344311270207,1.0060126064796397,1.5207972924218414,2.5080006005667705,341.7263810827174
500,284.61904996405843,0.968153810320501,0.9487225307663618,1.4842681085560214,2.3100442721640313,336.9242548914557
1000,282.48183866664414,0.8888854529137532,0.9077158022346845,1.6526119746076318,2.411414971807436,331.54948105146735
1500,274.8034933072458,0.8375001157355842,0.8621638035744634,1.6749639766674334,2.4938976296980293,332.6840654770309
2000,278.746593579573,0.7949788122920395,0.817581912919042,1.6636246002902193,2.4335901029755838,332.79546557744095
2500,274.1985358745916,0.7439781653059414,0.7911656597834156,1.855506211292268,2.5553124579516537,326.8255166583019
3000,268.5902065592539,0.7008443476124124,0.7569209046641346,1.8711926015762173,2.3452120937648138,328.73721671524123
3500,263.17555632840987,0.6742345759987088,0.6931666846743331,1.926818610852675,2.469357823553558,327.2041998089093
4000,262.74017476309086,0.6261067260378175,0.6834148343950021,1.9299455762387123,2.305579306095301,321.34915176070643
4500,257.08405938267316,0.5717333248131093,0.6498809855389146,2.081359318151563,2.281983926277924,325.4641466908258
5000,252.41615933347327,0.5411561192772638,0.5715011044724053,2.2098964431733967,2.177539906703061,320.18904595151866
5500,254.23749938994223,0.48729496562051705,0.5816672568042823,2.229981637477978,2.070612159698422,318.014793632981
6000,250.6556405225401,0.47871237313111903,0.5067496819105481,2.4345887545054232,2.118674473194956,316.0385204725783
6500,247.70888334463766,0.4361421137988124,0.5159207879919154,2.4628601915121218,2.0089207490806067,315.20301302078815
7000,240.031857968671,0.4017859764255409,0.4842106333590401,2.666215335408553,2.255161905936542,314.68681168884353
7500,239.11361057066867,0.38119579863531033,0.45505194321887094,2.756788619950562,2.1365931539231484,305.5819110522663
8000,235.40569588804283,0.35129363237117334,0.4058823599158999,3.0231033542755457,2.1292886993568825,314.7566009353895
8500,231.4215575821895,0.32081226813282154,0.44273911730944315,3.013138146553087,2.3095365836223483,308.36112530521876
9000,230.55242435977001,0.28796560203158905,0.3884742845393987,3.1727769365008514,2.11989564358923,306.7904449620503
9500,227.79860424521837,0.27846805672768543,0.37542023285947196,3.3516348495584944,1.9895502557031484,302.5640004523634
10000,224.8609832235576,0.2645406656018324,0.3238924715063283,3.59388041599066,2.0812841294849718,301.2221775385644
10500,217.96595505214117,0.25263448020924245,0.2938292096549146,3.70355467195878,1.846255262465633,297.39416389644407
11000,212.52512746089064,0.23908225874780512,0.30162912302143524,3.9449448429117546,1.9683796068257098,291.962500529793
11500,219.2266770616838,0.2173174967750668,0.28475459543668746,4.172706628536444,1.913928678301835,291.3505213385621
12000,215.2977770594956,0.1909691266953567,0.26082018882899116,4.636552231949941,1.956785359037948,290.7665982587268
12500,220.11458063489965,0.19884389670023508,0.24030392947249468,4.9113736761230395,2.070066413564624,294.4079237176449
13000,218.94511932048943,0.16261848015419952,0.22604471980928662,5.317079463235597,2.0743559546294428,295.795580891025
13500,213.1163588374808,0.1605784287508922,0.19416564981353882,5.832076400625048,2.399008828388953,297.3965831849202
14000,217.5218188255798,0.1396000515842348,0.17317246675041004,6.246342351768181,1.973717748353593,297.80292585362434
14500,218.03720949984304,0.12895358340082683,0.15182173479898803,6.765315331672992,2.068768563938695,296.42547135748345
15000,217.82717782165653,0.12220312128544784,0.17894554751966163,7.237359821991994,1.9965403957741004,290.910438042511
15500,215.69756193195988,0.10451622818986919,0.1539591619856228,7.895448973662924,1.9751511661093863,292.4139831410722
16000,215.30393814932827,0.08967858456151297,0.09257353895247232,8.598562498597099,1.9862855561151447,297.1263543772898
16500,218.2196664134457,0.08631705319292704,0.10351352862004431,9.223281491919337,2.1653316017816375,295.4718858440751
17000,215.61496981556778,0.07834715612316266,0.08660359017601421,9.971752206549148,1.9506548881963084,294.31485611186406
17500,216.24096994746424,0.07292340526630486,0.13026595834367982,10.805685831292827,2.010361022373964,291.62381331191904
18000,216.8591827800801,0.0634470639355797,0.1101243054764398,11.756819363451326,1.9090438200963653,292.9364001854875
18500,218.29518836991363,0.08376150729399648,0.1286119531419097,12.659646500704683,1.9338392614588729,294.9451645967734
19000,215.86529523057453,0.0689770750819102,0.04649635832118859,13.628434411590925,2.091587221101021,285.09242762596733
19500,217.66457433616543,0.06729193211820601,0.09647748270693368,14.75619252196299,1.9583649337130882,297.4551047588446
20000,216.58640253068106,0.044726848496756184,0.09289624051974896,16.05629443193014,1.9398474851043281,292.8623036848384
22000,219.6776545624709,0.022526661835549324,0.05580590370814156,22.118218782832155,1.9963167317881825,298.5990154516222
24000,219.734618769326,0.023146841518975156,0.04434185221561797,30.73112018740951,2.0478404684983307,297.4660433907105
26000,222.6241218541152,0.019731983428041014,0.04715224267782625,42.41866961787508,2.043341960567727,299.5530174308852
28000,224.76745924001526,0.010764384561870476,0.005537019781882806,58.40405215590107,2.0846948106891294,300.9798134862029
30000,225.91087116310237,0.025326454041748832,0.008769406266192553,80.12172018007054,1.9667728377611216,302.45127717621216
