altitude_km,dni_W_m2,ghi_clear_sky_W_m2
0.0,919.55,557.35
0.5,941.66,564.2
1.0,962.91,570.79
1.5,983.31,577.12
2.0,1002.87,583.18
2.5,1021.59,588.99
3.0,1039.5,594.54
3.5,1056.61,599.85
4.0,1072.95,604.91
4.5,1088.52,609.74
5.0,1103.35,614.34
5.5,1117.47,618.72
6.0,1130.9,622.88
6.5,1143.66,626.84
7.0,1155.78,630.6
7.5,1167.28,634.17
8.0,1178.19,637.55
8.5,1188.53,640.75
9.0,1198.33,643.79
9.5,1207.61,646.67
10.0,1216.39,649.39
10.5,1224.69,651.97
11.0,1232.55,654.4
11.5,1239.98,656.71
12.0,1246.99,658.88
12.5,1253.62,660.94
13.0,1259.88,662.88
13.5,1265.78,664.71
14.0,1271.36,666.44
14.5,1276.62,668.07
15.0,1281.58,669.61
15.5,1286.25,671.06
16.0,1290.66,672.43
16.5,1294.82,673.71
17.0,1298.74,674.93
17.5,1302.43,676.07
18.0,1305.9,677.15
18.5,1309.18,678.17
19.0,1312.26,679.12
19.5,1315.16,680.02
20.0,1317.89,680.87
20.5,1320.47,681.67
21.0,1322.89,682.42
21.5,1325.17,683.12
22.0,1327.31,683.79
22.5,1329.33,684.41
23.0,1331.23,685.0
23.5,1333.01,685.56
24.0,1334.69,686.08
24.5,1336.27,686.57
25.0,1337.75,687.03
25.5,1339.15,687.46
26.0,1340.47,687.87
26.5,1341.7,688.25
27.0,1342.86,688.61
27.5,1343.95,688.95
28.0,1344.98,689.27
28.5,1345.95,689.57
29.0,1346.85,689.85
29.5,1347.71,690.11
30.0,1348.51,690.36
