datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,Elevation_m
2026/08/01@12:30:02,23898,-0.24121094,0.9597168,0.2331543,-1.8396946,1.1068702,-1.0305344,400.0
2026/08/01@12:30:03,23899,-0.24121094,0.96484376,0.23706054,-1.6717557,0.7633588,-1.3053435,403.83870967741933
2026/08/01@12:30:04,23900,-0.24438476,0.958251968,0.230712892,-1.648855,1.3358779,-1.1755725,407.6774193548387
2026/08/01@12:30:05,23901,-0.239257808,0.9638672,0.22875976,-1.70229,1.0992366,-0.961832064,411.51612903225805
2026/08/01@12:30:07,23903,-0.2434082,0.96655272,0.239257808,-1.519084,1.0229008,-1.2671756,419.19354838709677
2026/08/01@12:30:08,23904,-0.23535156,0.9645996,0.2331543,-1.5419847,0.961832064,-1.3816794,423.0322580645161
2026/08/01@12:30:09,23905,-0.24194336,0.9597168,0.234375,-1.6183206,1.221374,-1.3740458,426.8709677419355
2026/08/01@12:30:10,23906,-0.24438476,0.9658203,0.22875976,-1.8778626,0.86259544,-1.1068702,430.7096774193548
2026/08/01@12:30:11,23907,-0.2434082,0.9638672,0.2331543,-1.70229,1.2061069,-1.4885496,434.5483870967742
2026/08/01@12:30:12,23908,-0.238525392,0.9641113,0.2397461,-1.71755732,1.2519084,-1.3816794,438.38709677419354
2026/08/01@12:30:13,23909,-0.238769532,0.96606448,0.23339844,-1.5725191,1.2442748,-1.1374046,442.2258064516129
2026/08/01@12:30:14,23910,-0.23999024,0.96606448,0.2319336,-1.70229,1.0458015,-1.351145,446.06451612903226
2026/08/01@12:30:15,23911,-0.24121094,0.9650879,0.23461914,-1.778626,1.038168,-1.3969466,449.9032258064516
2026/08/01@12:30:16,23912,-0.2409668,0.9621582,0.237548832,-1.81679384,1.0152671,-1.4045801,453.741935483871
2026/08/01@12:30:18,23914,-0.239257808,0.96240232,0.229980468,-1.6793894,1.1145039,-1.3587786,461.4193548387097
2026/08/01@12:30:19,23915,-0.23339844,0.96240232,0.23364258,-1.6183206,0.732824436,-1.0610686,465.258064516129
2026/08/01@12:30:20,23916,-0.24072266,0.9682617,0.22924804,-1.648855,1.221374,-1.3053435,469.0967741935484
2026/08/01@12:30:21,23917,-0.238037108,0.9641113,0.239013668,-1.6183206,1.0534351,-1.1908396,472.93548387096774
2026/08/01@12:30:22,23918,-0.239013668,0.9663086,0.23388672,-1.8396946,1.2900764,-1.1755725,476.7741935483871
2026/08/01@12:30:23,23919,-0.2409668,0.9658203,0.23168946,-1.4427481,1.3740458,-1.1374046,480.61290322580646
2026/08/01@12:30:24,23920,-0.239257808,0.96191408,0.234375,-1.6183206,1.0534351,-1.3282443,484.4516129032258
2026/08/01@12:30:25,23921,-0.2421875,0.9658203,0.23608398,-1.6793894,1.2442748,-1.2519084,488.2903225806452
2026/08/01@12:30:26,23922,-0.2368164,0.96362308,0.23242188,-1.71755732,1.1374046,-1.2366412,492.1290322580645
2026/08/01@12:30:27,23923,-0.2421875,0.9621582,0.239257808,-1.80152668,0.99236643,-1.3129771,495.9677419354839
2026/08/01@12:30:29,23925,-0.239013668,0.9655762,0.22802734,-1.7557252,1.2900764,-1.2519084,503.64516129032256
2026/08/01@12:30:30,23926,-0.23950196,0.963134768,0.230957032,-1.70229,0.961832064,-1.4198474,507.48387096774195
2026/08/01@12:30:31,23927,-0.23999024,0.963134768,0.22875976,-1.85496184,1.0610686,-1.038168,511.3225806451613
2026/08/01@12:30:32,23928,-0.23950196,0.9628906,0.23632812,-1.7633588,1.1984733,-1.129771,515.1612903225806
2026/08/01@12:30:33,23929,-0.237304684,0.96606448,0.23486328,-1.4198474,1.2061069,-1.2519084,519.0
2026/08/01@12:30:34,23930,-0.24291992,0.9633789,0.23608398,-1.69465652,0.977099264,-1.351145,522.6666666666666
2026/08/01@12:30:35,23931,-0.24121094,0.9633789,0.23266602,-1.7480916,1.29771,-0.90076332,526.3333333333334
2026/08/01@12:30:36,23932,-0.238769532,0.9638672,0.2355957,-1.8931298,1.1832061,-1.4732824,530.0
2026/08/01@12:30:37,23933,-0.23999024,0.9609375,0.22924804,-1.85496184,1.0534351,-1.0534351,533.6666666666666
2026/08/01@12:30:39,23935,-0.23706054,0.96069336,0.230957032,-1.4122137,1.1603054,-1.2671756,541.0
2026/08/01@12:30:40,23936,-0.2397461,0.9650879,0.23657226,-1.389313,1.1374046,-1.1068702,544.6666666666666
2026/08/01@12:30:41,23937,-0.2368164,0.96191408,0.23632812,-1.5038168,1.167939,-0.9465649,548.3333333333334
2026/08/01@12:30:42,23938,-0.23999024,0.9638672,0.22924804,-1.6335878,1.2671756,-1.2900764,552.0
2026/08/01@12:30:43,23939,-0.2421875,0.9658203,0.2355957,-1.7480916,1.167939,-1.2519084,555.6666666666666
2026/08/01@12:30:44,23940,-0.2434082,0.9682617,0.23339844,-1.6564885,1.1526718,-1.2748091,559.3333333333334
2026/08/01@12:30:45,23941,-0.23706054,0.9626465,0.22827148,-1.78625952,0.977099264,-1.129771,563.0
2026/08/01@12:30:46,23942,-0.24121094,0.967041,0.23461914,-1.7709924,1.3206106,-1.129771,566.6666666666666
