datetime,elapsed_s,gas2,Elevation_m
2000/01/01@12:30:02,15124,3.2338128,400.0
2000/01/01@12:30:03,15125,3.2338128,403.83870967741933
2000/01/01@12:30:04,15126,3.2341876,407.6774193548387
2000/01/01@12:30:05,15127,3.2338128,411.51612903225805
2000/01/01@12:30:06,15128,3.2345628,415.35483870967744
2000/01/01@12:30:08,15130,3.2341876,423.0322580645161
2000/01/01@12:30:09,15131,3.2338128,426.8709677419355
2000/01/01@12:30:10,15132,3.234375,430.7096774193548
2000/01/01@12:30:11,15133,3.2340002,434.5483870967742
2000/01/01@12:30:12,15134,3.234375,438.38709677419354
2000/01/01@12:30:13,15135,3.233625,442.2258064516129
2000/01/01@12:30:14,15136,3.2338128,446.06451612903226
2000/01/01@12:30:15,15137,3.2338128,449.9032258064516
2000/01/01@12:30:16,15138,3.2341876,453.741935483871
2000/01/01@12:30:17,15139,3.233625,457.5806451612903
2000/01/01@12:30:18,15140,3.2341876,461.4193548387097
2000/01/01@12:30:20,15142,3.2340002,469.0967741935484
2000/01/01@12:30:21,15143,3.2340002,472.93548387096774
2000/01/01@12:30:22,15144,3.2341876,476.7741935483871
2000/01/01@12:30:23,15145,3.2341876,480.61290322580646
2000/01/01@12:30:24,15146,3.234375,484.4516129032258
2000/01/01@12:30:25,15147,3.2341876,488.2903225806452
2000/01/01@12:30:26,15148,3.2341876,492.1290322580645
2000/01/01@12:30:27,15149,3.2338128,495.9677419354839
2000/01/01@12:30:28,15150,3.2341876,499.80645161290323
2000/01/01@12:30:29,15151,3.2338128,503.64516129032256
2000/01/01@12:30:30,15152,3.2341876,507.48387096774195
2000/01/01@12:30:32,15154,3.234375,515.1612903225806
2000/01/01@12:30:33,15155,3.2338128,519.0
2000/01/01@12:30:34,15156,3.2340002,522.6666666666666
2000/01/01@12:30:35,15157,3.2338128,526.3333333333334
2000/01/01@12:30:36,15158,3.2338128,530.0
2000/01/01@12:30:37,15159,3.2340002,533.6666666666666
2000/01/01@12:30:38,15160,3.2341876,537.3333333333334
2000/01/01@12:30:39,15161,3.2340002,541.0
2000/01/01@12:30:40,15162,3.2338128,544.6666666666666
2000/01/01@12:30:41,15163,3.234375,548.3333333333334
2000/01/01@12:30:42,15164,3.233625,552.0
2000/01/01@12:30:44,15166,3.2338128,559.3333333333334
2000/01/01@12:30:45,15167,3.2340002,563.0
2000/01/01@12:30:46,15168,3.233625,566.6666666666666
2000/01/01@12:30:47,15169,3.233625,570.3333333333334
2000/01/01@12:30:48,15170,3.2341876,574.0
2000/01/01@12:30:49,15171,3.2338128,577.6666666666666
2000/01/01@12:30:50,15172,3.233625,581.3333333333334
2000/01/01@12:30:51,15173,3.2340002,585.0
2000/01/01@12:30:52,15174,3.2340002,588.6666666666666
2000/01/01@12:30:53,15175,3.2338128,592.3333333333334
2000/01/01@12:30:54,15176,3.233625,596.0
2000/01/01@12:30:56,15178,3.234375,603.3333333333334
2000/01/01@12:30:57,15179,3.233625,607.0
2000/01/01@12:30:58,15180,3.234375,610.6666666666666
