datetime,elapsed_s,pressure_hpa,Elevation_m
2026/04/02@12:30:02,28172,968.6571,400.0
2026/04/02@12:30:03,28173,968.6203,403.83870967741933
2026/04/02@12:30:04,28174,968.6116,407.6774193548387
2026/04/02@12:30:05,28175,968.63132,411.51612903225805
2026/04/02@12:30:06,28176,968.65736,415.35483870967744
2026/04/02@12:30:07,28177,968.6203,419.19354838709677
2026/04/02@12:30:08,28178,968.65608,423.0322580645161
2026/04/02@12:30:10,28179,968.65608,430.7096774193548
2026/04/02@12:30:11,28181,968.6412,434.5483870967742
2026/04/02@12:30:12,28182,968.651,438.38709677419354
2026/04/02@12:30:13,28183,968.5966,442.2258064516129
2026/04/02@12:30:14,28184,968.6412,446.06451612903226
2026/04/02@12:30:15,28185,968.62,449.9032258064516
2026/04/02@12:30:16,28186,968.5954,453.741935483871
2026/04/02@12:30:17,28187,968.6719,457.5806451612903
2026/04/02@12:30:18,28188,968.622464,461.4193548387097
2026/04/02@12:30:19,28189,968.648464,465.258064516129
2026/04/02@12:30:20,28190,968.64344,469.0967741935484
2026/04/02@12:30:21,28191,968.6238,472.93548387096774
2026/04/02@12:30:22,28192,968.6632,476.7741935483871
2026/04/02@12:30:24,28194,968.6238,484.4516129032258
2026/04/02@12:30:25,28195,968.6511,488.2903225806452
2026/04/02@12:30:26,28196,968.6447,492.1290322580645
2026/04/02@12:30:27,28197,968.6633,495.9677419354839
2026/04/02@12:30:28,28198,968.6584,499.80645161290323
2026/04/02@12:30:29,28199,968.60652,503.64516129032256
2026/04/02@12:30:30,28200,968.61632,507.48387096774195
2026/04/02@12:30:31,28201,968.63732,511.3225806451613
2026/04/02@12:30:32,28202,968.6571,515.1612903225806
2026/04/02@12:30:33,28203,968.63368,519.0
2026/04/02@12:30:34,28204,968.625,522.6666666666666
2026/04/02@12:30:35,28205,968.61632,526.3333333333334
2026/04/02@12:30:37,28207,968.6731,533.6666666666666
2026/04/02@12:30:38,28208,968.64708,537.3333333333334
2026/04/02@12:30:39,28209,968.641,541.0
2026/04/02@12:30:40,28210,968.60264,544.6666666666666
2026/04/02@12:30:41,28211,968.6361,548.3333333333334
2026/04/02@12:30:42,28212,968.62856,552.0
2026/04/02@12:30:43,28213,968.6423,555.6666666666666
2026/04/02@12:30:44,28214,968.631136,559.3333333333334
2026/04/02@12:30:45,28215,968.65096,563.0
2026/04/02@12:30:46,28216,968.61632,566.6666666666666
2026/04/02@12:30:47,28217,968.652064,570.3333333333334
2026/04/02@12:30:48,28218,968.61748,574.0
2026/04/02@12:30:50,28220,968.6336,581.3333333333334
2026/04/02@12:30:51,28221,968.64592,585.0
2026/04/02@12:30:52,28222,968.62,588.6666666666666
2026/04/02@12:30:53,28223,968.6336,592.3333333333334
2026/04/02@12:30:54,28224,968.62856,596.0
2026/04/02@12:30:55,28225,968.65464,599.6666666666666
2026/04/02@12:30:56,28226,968.6287,603.3333333333334
2026/04/02@12:30:57,28227,968.6286,607.0
2026/04/02@12:30:58,28228,968.62136,610.6666666666666
2026/04/02@12:30:59,28229,968.5965,614.3333333333334
2026/04/02@12:31:00,28230,968.6236,618.0
