datetime,elapsed_s,uvindex,Elevation_m
2026/08/01@14:11:46,7,0.2126087,21325.90322580645
2026/08/01@14:11:47,8,0.20913044,21329.16129032258
2026/08/01@14:11:48,9,0.182173908,21332.41935483871
2026/08/01@14:11:49,10,0.18347826,21335.677419354837
2026/08/01@14:11:50,11,0.1852174,21338.935483870966
2026/08/01@14:11:51,12,0.170434784,21342.1935483871
2026/08/01@14:11:52,13,0.25695652,21345.451612903227
2026/08/01@14:11:54,15,0.22217392,21351.967741935485
2026/08/01@14:11:55,16,0.20913044,21355.225806451614
2026/08/01@14:11:56,17,0.201739132,21358.483870967742
2026/08/01@14:11:57,18,0.20913044,21361.74193548387
2026/08/01@14:11:58,19,0.21043478,21365.0
2026/08/01@14:11:59,20,0.2552174,21368.451612903227
2026/08/01@14:12:00,21,0.19347826,21371.90322580645
2026/08/01@14:12:01,22,0.29173914,21375.354838709678
2026/08/01@14:12:02,23,0.31391304,21378.8064516129
2026/08/01@14:12:03,24,0.26826088,21382.25806451613
2026/08/01@14:12:04,25,0.38434784,21385.709677419356
2026/08/01@14:12:05,26,0.36739132,21389.16129032258
2026/08/01@14:12:07,28,0.32086956,21396.064516129034
2026/08/01@14:12:08,29,0.32608696,21399.516129032258
2026/08/01@14:12:09,30,0.33,21402.967741935485
2026/08/01@14:12:10,31,0.33,21406.41935483871
2026/08/01@14:12:11,32,0.33347828,21409.870967741936
2026/08/01@14:12:12,33,0.33086956,21413.322580645163
2026/08/01@14:12:13,34,0.3195652,21416.774193548386
2026/08/01@14:12:14,35,0.32130436,21420.225806451614
2026/08/01@14:12:15,36,0.04478261,21423.677419354837
2026/08/01@14:12:16,37,0.08695652,21427.129032258064
2026/08/01@14:12:17,38,0.112173912,21430.58064516129
2026/08/01@14:12:18,39,0.14608696,21434.032258064515
2026/08/01@14:12:20,41,0.115652176,21440.935483870966
2026/08/01@14:12:21,42,0.2826087,21444.387096774193
2026/08/01@14:12:22,43,0.23826086,21447.83870967742
2026/08/01@14:12:23,44,0.11260869,21451.290322580644
2026/08/01@14:12:24,45,0.11347826,21454.74193548387
2026/08/01@14:12:25,46,0.11347826,21458.1935483871
2026/08/01@14:12:26,47,0.17347826,21461.645161290322
2026/08/01@14:12:27,48,0.110434784,21465.09677419355
2026/08/01@14:12:28,49,0.110434784,21468.548387096773
2026/08/01@14:12:29,50,0.110434784,21472.0
2026/08/01@14:12:30,51,0.27913044,21475.466666666667
2026/08/01@14:12:31,52,0.237391316,21478.933333333334
2026/08/01@14:12:33,54,0.229130432,21485.866666666665
2026/08/01@14:12:34,55,0.3104348,21489.333333333332
2026/08/01@14:12:35,56,0.33,21492.8
2026/08/01@14:12:36,57,0.30130434,21496.266666666666
2026/08/01@14:12:37,58,0.09521739,21499.733333333334
2026/08/01@14:12:38,59,0.33347828,21503.2
2026/08/01@14:12:39,60,0.32956524,21506.666666666668
2026/08/01@14:12:40,61,0.33,21510.133333333335
2026/08/01@14:12:41,62,0.39652176,21513.6
2026/08/01@14:12:42,63,0.4,21517.066666666666
2026/08/01@14:12:43,64,0.399565216,21520.533333333333
2026/08/01@14:12:44,65,0.398260868,21524.0
2026/08/01@14:12:46,67,0.398260868,21530.933333333334
2026/08/01@14:12:47,68,0.177826092,21534.4
2026/08/01@14:12:48,69,0.17956522,21537.866666666665
2026/08/01@14:12:49,70,0.336521736,21541.333333333332
2026/08/01@14:12:50,71,0.30304348,21544.8
2026/08/01@14:12:51,72,0.29086956,21548.266666666666
2026/08/01@14:12:52,73,0.30391306,21551.733333333334
2026/08/01@14:12:53,74,0.33782608,21555.2
2026/08/01@14:12:54,75,0.06,21558.666666666668
2026/08/01@14:12:55,76,0.06,21562.133333333335
2026/08/01@14:12:56,77,0.056086956,21565.6
2026/08/01@14:12:57,78,0.27913044,21569.066666666666
2026/08/01@14:12:59,80,0.12739131,21576.0
2026/08/01@14:13:00,81,0.08869565,21579.129032258064
2026/08/01@14:13:01,82,0.3021739,21582.25806451613
2026/08/01@14:13:02,83,0.31652172,21585.387096774193
