datetime,elapsed_s,voltage,Elevation_m
2026/08/01@14:11:47,7,2.6990002,21329.16129032258
2026/08/01@14:11:48,8,2.7005,21332.41935483871
2026/08/01@14:11:49,9,2.7010002,21335.677419354837
2026/08/01@14:11:50,10,2.709,21338.935483870966
2026/08/01@14:11:51,11,2.710375,21342.1935483871
2026/08/01@14:11:53,13,2.7122502,21348.709677419356
2026/08/01@14:11:54,14,2.7192502,21351.967741935485
2026/08/01@14:11:55,15,2.716875,21355.225806451614
2026/08/01@14:11:56,16,2.716,21358.483870967742
2026/08/01@14:11:57,17,2.7187502,21361.74193548387
2026/08/01@14:11:58,18,2.7192502,21365.0
2026/08/01@14:11:59,19,2.7193752,21368.451612903227
2026/08/01@14:12:00,20,2.723375,21371.90322580645
2026/08/01@14:12:01,21,2.7296252,21375.354838709678
2026/08/01@14:12:02,22,2.743375,21378.8064516129
2026/08/01@14:12:03,23,2.742,21382.25806451613
2026/08/01@14:12:05,25,2.73775,21389.16129032258
2026/08/01@14:12:06,26,2.7417502,21392.612903225807
2026/08/01@14:12:07,27,2.622375,21396.064516129034
2026/08/01@14:12:08,28,2.6312502,21399.516129032258
2026/08/01@14:12:09,29,2.7422502,21402.967741935485
2026/08/01@14:12:10,30,2.742,21406.41935483871
2026/08/01@14:12:11,31,2.741625,21409.870967741936
2026/08/01@14:12:12,32,2.7413752,21413.322580645163
2026/08/01@14:12:13,33,2.741625,21416.774193548386
2026/08/01@14:12:14,34,2.73725,21420.225806451614
2026/08/01@14:12:15,35,2.7397502,21423.677419354837
2026/08/01@14:12:17,37,2.736375,21430.58064516129
2026/08/01@14:12:18,38,2.7345002,21434.032258064515
2026/08/01@14:12:19,39,2.73775,21437.483870967742
2026/08/01@14:12:20,40,2.739,21440.935483870966
2026/08/01@14:12:21,41,2.7392502,21444.387096774193
2026/08/01@14:12:22,42,2.7325,21447.83870967742
2026/08/01@14:12:23,43,2.736875,21451.290322580644
2026/08/01@14:12:24,44,2.7375002,21454.74193548387
2026/08/01@14:12:25,45,2.73775,21458.1935483871
2026/08/01@14:12:26,46,2.73125,21461.645161290322
2026/08/01@14:12:27,47,2.736875,21465.09677419355
2026/08/01@14:12:29,49,2.7371252,21472.0
2026/08/01@14:12:30,50,2.7375002,21475.466666666667
2026/08/01@14:12:31,51,2.7383752,21478.933333333334
2026/08/01@14:12:32,52,2.7323752,21482.4
2026/08/01@14:12:33,53,2.7326252,21485.866666666665
2026/08/01@14:12:34,54,2.7315002,21489.333333333332
2026/08/01@14:12:35,55,2.7325,21492.8
2026/08/01@14:12:36,56,2.7318752,21496.266666666666
2026/08/01@14:12:37,57,2.7231252,21499.733333333334
2026/08/01@14:12:38,58,2.723,21503.2
2026/08/01@14:12:39,59,2.73825,21506.666666666668
2026/08/01@14:12:41,61,2.7385,21513.6
2026/08/01@14:12:42,62,2.738125,21517.066666666666
2026/08/01@14:12:43,63,2.73775,21520.533333333333
2026/08/01@14:12:44,64,2.7376252,21524.0
2026/08/01@14:12:45,65,2.7378752,21527.466666666667
2026/08/01@14:12:46,66,2.7385,21530.933333333334
2026/08/01@14:12:47,67,2.7385,21534.4
2026/08/01@14:12:48,68,2.72775,21537.866666666665
2026/08/01@14:12:49,69,2.7297502,21541.333333333332
2026/08/01@14:12:50,70,2.7405002,21544.8
2026/08/01@14:12:51,71,2.73475,21548.266666666666
2026/08/01@14:12:53,73,2.7396252,21555.2
2026/08/01@14:12:54,74,2.740375,21558.666666666668
2026/08/01@14:12:55,75,2.61625,21562.133333333335
2026/08/01@14:12:56,76,2.6237502,21565.6
2026/08/01@14:12:57,77,2.62275,21569.066666666666
2026/08/01@14:12:58,78,2.594875,21572.533333333333
2026/08/01@14:12:59,79,2.59925,21576.0
2026/08/01@14:13:00,80,2.7345002,21579.129032258064
2026/08/01@14:13:01,81,2.73475,21582.25806451613
2026/08/01@14:13:02,82,2.7378752,21585.387096774193
2026/08/01@14:13:03,83,2.7297502,21588.516129032258
2026/08/01@14:13:05,85,2.696125,21594.774193548386
2026/08/01@14:13:06,86,2.72425,21597.90322580645
2026/08/01@14:13:07,87,2.7310002,21601.032258064515
2026/08/01@14:13:08,88,2.72125,21604.16129032258
2026/08/01@14:13:09,89,2.714375,21607.290322580644
2026/08/01@14:13:10,90,2.673875,21610.41935483871
2026/08/01@14:13:11,91,2.6363752,21613.548387096773
2026/08/01@14:13:12,92,2.6650002,21616.677419354837
2026/08/01@14:13:13,93,2.6347502,21619.8064516129
2026/08/01@14:13:14,94,2.627875,21622.935483870966
2026/08/01@14:13:15,95,2.6281252,21626.064516129034
2026/08/01@14:13:17,97,2.6476252,21632.322580645163
2026/08/01@14:13:18,98,2.7188752,21635.451612903227
